Country,Date,Confirmed cases
Confirmed cases,5/7/2020,288
Confirmed cases,5/8/2020,288
Confirmed cases,5/9/2020,288
Confirmed cases,5/10/2020,288
Confirmed cases,5/11/2020,288
Confirmed cases,5/12/2020,288
Confirmed cases,5/13/2020,288
Confirmed cases,5/14/2020,288
Confirmed cases,5/15/2020,314
Confirmed cases,5/16/2020,318
Confirmed cases,5/17/2020,320
Confirmed cases,5/18/2020,324
Confirmed cases,5/19/2020,324
Confirmed cases,5/20/2020,324
Confirmed cases,5/21/2020,324
Confirmed cases,5/22/2020,324
Confirmed cases,5/23/2020,324
Confirmed cases,5/24/2020,325
Confirmed cases,5/25/2020,326
Confirmed cases,5/26/2020,327
Confirmed cases,5/27/2020,327
Confirmed cases,5/28/2020,328
Confirmed cases,5/29/2020,328
Confirmed cases,5/30/2020,328
Confirmed cases,5/31/2020,328
Confirmed cases,6/1/2020,328
Confirmed cases,6/2/2020,328
Confirmed cases,6/3/2020,328
Confirmed cases,6/4/2020,328
Confirmed cases,6/5/2020,328
Confirmed cases,6/6/2020,328
Active cases,5/7/2020,48
Active cases,5/8/2020,55
Active cases,5/9/2020,55
Active cases,5/10/2020,55
Active cases,5/11/2020,40
Active cases,5/12/2020,40
Active cases,5/13/2020,40
Active cases,5/14/2020,37
Active cases,5/15/2020,63
Active cases,5/16/2020,58
Active cases,5/17/2020,60
Active cases,5/18/2020,64
Active cases,5/19/2020,61
Active cases,5/20/2020,61
Active cases,5/21/2020,61
Active cases,5/22/2020,61
Active cases,5/23/2020,58
Active cases,5/24/2020,59
Active cases,5/25/2020,60
Active cases,5/26/2020,56
Active cases,5/27/2020,56
Active cases,5/28/2020,57
Active cases,5/29/2020,50
Active cases,5/30/2020,50
Active cases,5/31/2020,50
Active cases,6/1/2020,50
Active cases,6/2/2020,50
Active cases,6/3/2020,50
Active cases,6/4/2020,34
Active cases,6/5/2020,34
Active cases,6/6/2020,21
Recovered cases,5/7/2020,240
Recovered cases,5/8/2020,233
Recovered cases,5/9/2020,233
Recovered cases,5/10/2020,233
Recovered cases,5/11/2020,248
Recovered cases,5/12/2020,248
Recovered cases,5/13/2020,248
Recovered cases,5/14/2020,251
Recovered cases,5/15/2020,251
Recovered cases,5/16/2020,260
Recovered cases,5/17/2020,260
Recovered cases,5/18/2020,260
Recovered cases,5/19/2020,263
Recovered cases,5/20/2020,263
Recovered cases,5/21/2020,263
Recovered cases,5/22/2020,263
Recovered cases,5/23/2020,266
Recovered cases,5/24/2020,266
Recovered cases,5/25/2020,266
Recovered cases,5/26/2020,271
Recovered cases,5/27/2020,271
Recovered cases,5/28/2020,271
Recovered cases,5/29/2020,278
Recovered cases,5/30/2020,278
Recovered cases,5/31/2020,278
Recovered cases,6/1/2020,278
Recovered cases,6/2/2020,278
Recovered cases,6/3/2020,278
Recovered cases,6/4/2020,294
Recovered cases,6/5/2020,294
Recovered cases,6/6/2020,307
