Date,Confirmed cases,Active cases,Recovered cases
5/6/2020,271,54,217
5/7/2020,288,48,240
5/8/2020,288,55,233
5/9/2020,288,55,233
5/10/2020,288,55,233
5/11/2020,288,40,248
5/12/2020,288,40,248
5/13/2020,288,40,248
5/14/2020,288,37,251
5/15/2020,314,63,251
5/16/2020,318,58,260
5/17/2020,320,60,260
5/18/2020,324,64,260
5/19/2020,324,61,263
5/20/2020,324,61,263
5/21/2020,324,61,263
5/22/2020,324,61,263
5/23/2020,324,58,266
5/24/2020,325,59,266
5/25/2020,326,60,266
5/26/2020,327,56,271
5/27/2020,327,56,271
5/28/2020,328,57,271
5/29/2020,328,50,278
5/30/2020,328,50,278
5/31/2020,328,50,278
6/1/2020,328,50,278
6/2/2020,328,50,278
6/3/2020,328,50,278
6/4/2020,328,34,294
6/5/2020,328,34,294
6/6/2020,328,21,307
