Cases,Date,Number of cases
Confirmed cases,10/5/2020,288
Confirmed cases,11/5/2020,288
Confirmed cases,12/5/2020,288
Confirmed cases,13/5/2020,288
Confirmed cases,14/5/2020,288
Confirmed cases,15/5/2020,314
Confirmed cases,16/5/2020,318
Confirmed cases,17/5/2020,320
Confirmed cases,18/5/2020,324
Confirmed cases,19/5/2020,324
Confirmed cases,20/5/2020,324
Confirmed cases,21/5/2020,324
Confirmed cases,22/5/2020,324
Confirmed cases,23/5/2020,324
Confirmed cases,24/5/2020,325
Confirmed cases,25/5/2020,326
Confirmed cases,26/5/2020,327
Confirmed cases,27/5/2020,327
Confirmed cases,28/5/2020,328
Confirmed cases,29/5/2020,328
Confirmed cases,30/5/2020,328
Confirmed cases,31/5/2020,328
Confirmed cases,1/6/2020,328
Confirmed cases,2/6/2020,328
Confirmed cases,3/6/2020,328
Confirmed cases,4/6/2020,328
Confirmed cases,5/6/2020,328
Confirmed cases,6/6/2020,328
Confirmed cases,7/6/2020,329
Confirmed cases,8/6/2020,332
Active cases,10/5/2020,55
Active cases,11/5/2020,40
Active cases,12/5/2020,40
Active cases,13/5/2020,40
Active cases,14/5/2020,37
Active cases,15/5/2020,63
Active cases,16/5/2020,58
Active cases,17/5/2020,60
Active cases,18/5/2020,64
Active cases,19/5/2020,61
Active cases,20/5/2020,61
Active cases,21/5/2020,61
Active cases,22/5/2020,61
Active cases,23/5/2020,58
Active cases,24/5/2020,59
Active cases,25/5/2020,60
Active cases,26/5/2020,56
Active cases,27/5/2020,56
Active cases,28/5/2020,57
Active cases,29/5/2020,50
Active cases,30/5/2020,50
Active cases,31/5/2020,50
Active cases,1/6/2020,50
Active cases,2/6/2020,50
Active cases,3/6/2020,50
Active cases,4/6/2020,34
Active cases,5/6/2020,34
Active cases,6/6/2020,21
Active cases,7/6/2020,23
Active cases,8/6/2020,24
Recovered cases,10/5/2020,233
Recovered cases,11/5/2020,248
Recovered cases,12/5/2020,248
Recovered cases,13/5/2020,248
Recovered cases,14/5/2020,251
Recovered cases,15/5/2020,251
Recovered cases,16/5/2020,260
Recovered cases,17/5/2020,260
Recovered cases,18/5/2020,260
Recovered cases,19/5/2020,263
Recovered cases,20/5/2020,263
Recovered cases,21/5/2020,263
Recovered cases,22/5/2020,263
Recovered cases,23/5/2020,266
Recovered cases,24/5/2020,266
Recovered cases,25/5/2020,266
Recovered cases,26/5/2020,271
Recovered cases,27/5/2020,271
Recovered cases,28/5/2020,271
Recovered cases,29/5/2020,278
Recovered cases,30/5/2020,278
Recovered cases,31/5/2020,278
Recovered cases,1/6/2020,278
Recovered cases,2/6/2020,278
Recovered cases,3/6/2020,278
Recovered cases,4/6/2020,294
Recovered cases,5/6/2020,294
Recovered cases,6/6/2020,307
Recovered cases,7/6/2020,307
Recovered cases,8/6/2020,307
