ma,province,cases
1,Hà Nội,114
2,Hà Giang,1
4,Cao Bằng,0
6,Bắc Kạn,0
8,Tuyên Quang,0
10,Lào Cai,2
11,Ðiện Biên,0
12,Lai Châu,1
14,Sơn La,0
15,Yên Bái,0
17,Hoà Bình,0
19,Thái Nguyên,1
20,Lạng Sơn,0
22,Quảng Ninh,8
24,Bắc Giang,4
25,Phú Thọ,0
26,Vĩnh Phúc,19
27,Bắc Ninh,1
30,Hải Dương,2
31,Hải Phòng,0
33,Hưng Yên,1
34,Thái Bình,30
35,Hà Nam,4
36,Nam Ðịnh,0
37,Ninh Bình,13
38,Thanh Hóa,3
40,Nghệ An,0
42,Hà Tĩnh,4
44,Quảng Bình,0
45,Quảng Trị,0
46,Thừa Thiên Huế,2
48,Ðà Nẵng,6
49,Quảng Nam,3
51,Quảng Ngãi,0
52,Bình Ðịnh,0
54,Phú Yên,0
56,Khánh Hòa,1
58,Ninh Thuận,2
60,Bình Thuận,9
62,Kon Tum,0
64,Gia Lai,0
66,Ðắk Lắk,0
67,Ðắk Nông,0
68,Lâm Ðồng,0
70,Bình Phước,0
72,Tây Ninh,4
74,Bình Dương,0
75,Ðồng Nai,1
77,Bà Rịa - Vũng Tàu,1
79,Hồ Chí Minh,60
80,Long An,0
82,Tiền Giang,0
83,Bến Tre,1
84,Trà Vinh,2
86,Vĩnh Long,0
87,Ðồng Tháp,6
89,An Giang,0
91,Kiên Giang,0
92,Cần Thơ,2
93,Hậu Giang,0
94,Sóc Trăng,0
95,Bạc Liêu,21
96,Cà Mau,0
